item-name,Type ASIN,ASIN,seller-sku,price,quantity,open-date,fulfillment-channel,merchant-shipping-group,status
"CEBU Men's Soft Toe Work Boots, Slip Resistant, Construction and Utility Safety, 6 inch Shoes, Leather, Lightweight Sole, mid Length, Botin",Parent,B00R0UTMVQ,15000,100,0,2014-12-14 20:58:35 PST,DEFAULT,Cebu Template,Inactive
"CEBU men's steel toe work boots, industrial and construction safety, leather, 10 inch, breathable, acid resistant, utility shoes, Tk Farmer",Parent,B0719PRG9J,176700,100,0,2017-05-22 11:17:58 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Utility and Construction Safety, Leather,Oil and Acid Resistant, 10 inch Pull on, Heavy Duty Sole Shoes, Tractor",Parent,B01JKG2GH4,3000,100,0,2016-08-02 15:43:30 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, Construction and Utility Safety, 10 inch, Oil and Acid Resistant, Comfortable Leather Shoes, Tractor",Parent,B01JKF3EOE,3100,100,0,2016-08-02 15:21:48 PDT,DEFAULT,Cebu Template,Inactive
Toro Men’s TRC1 10” Work Boot,Parent,B0187VRJ0C,354000,100,0,2015-11-19 11:13:41 PST,DEFAULT,Cebu Template,Inactive
Toro Men’s TRC1 10” Steel-Toe Work Boot,Parent,B0187VRPHY,356000,100,0,2015-11-19 11:13:54 PST,DEFAULT,Cebu Template,Inactive
"CEBU men's composite toe work boots, construction and industrial safety, utility, leather, breathable, 10 inch shoes, Rodeo",Parent,B00R0UX0DC,36000,100,0,2014-12-14 21:01:20 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Leather, Breathable, Oil and Acid Resistant, Lightweight, 10 inch Pull on, Comfort Shoe, Farmer",Parent,B071SDF8P5,371001,100,0,2017-05-22 11:33:54 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Tk Guardax Steel Toe Heavy Duty 10"" Pull On Work Boots",Parent,B0711JNKYN,443000,100,3,2017-05-09 12:56:01 PDT,DEFAULT,Cebu Template,Inactive
"CEBU men's work soft toe boots, wedge, oil resistant, industrial shoes, lightweight and resistant, 10 inch pull on boot,Comfort",Parent,B07C5PHV5N,4500401,100,0,2013-07-18 08:35:23 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Construction and Utility Saftey, Oil Resistant, 6 inch Shoes, Leather, Breathable mid Ankle Shoe, Versatile, BMX",Parent,B00R0V0GEC,45100,100,0,2014-12-14 21:03:33 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, Construction and Industrial Resistant, Lightweight and Breathable, Comfortable Mens mid 6 inch Shoes, BMX",Parent,B092G1HHJM,45200,100,0,2021-04-13 14:33:44 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, Leather, Lightweight, Oil and Water Resistant, Utility Shoe, Comfort",Parent,B07CNKYWRN,4600401,100,0,2013-07-18 08:36:57 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Industrial, Utility Shoes, Oil and Acid Resistant, Light Weight, Leather, 10 inch, Pull up Boots, Max",Parent,B07CGDH25Z,7600901200,100,0,2013-05-26 07:18:22 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, for Industrial, Construction, Utility, Leather, Lightweight Shoe, 10 inch, Max",Parent,B07BMP2XW5,7800701200,100,0,2013-05-26 07:18:25 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, 10 inch, Leather, Breathable, Wide, Oil and Acid Resistant, Mens Utility Shoes, Tk Bordo",Parent,B07CJ2PHNT,930021,100,0,2013-05-17 12:26:51 PDT,DEFAULT,Cebu Template,Inactive
"LABRADOR Men's Soft Toe Wedge Work Boots, Safety, Lightweight, Leather, Oiled Resistant, Men 10 inch Utility Shoes, LA Rayas",Parent,B0877D2SQ8,a1183,100,0,2020-04-17 14:59:08 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Men's Soft Toe Work Boots, Safety, Pull-on, Breathable, Slip-on, Leather, Oiled Resistant, Non-Slip, 6 inch mid Shoes, FBS1",Parent,B0877DMDSV,a1522,67,0,2020-04-17 14:59:08 PDT,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Square Toe Western Boots, Pull on, Cowboy, Leather, Lightweight, Casual, 12 inch Boot, Dakota",Parent,B0877FNBLY,a1531,156,0,2020-04-17 14:59:08 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Heavy Duty, Oil and Acid Resistant, for Construction, Oil and Gas, and More, Leather 6"" Work Boots for Men, Tk Borcegui",Parent,B08NV2NM39,z1180,100,0,2020-11-18 16:40:55 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Industrial and Construction Safety, 8 inch, Men Leather, Utility, Breathable, Oil and Acid Resistant, mid Ankle Shoes, Tk Lacer",Parent,B087LBQSDS,z1197,100,0,2020-04-23 14:31:33 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Industrial and Construction Safety, 8 inch, Men Leather, Utility, Breathable, Oil and Acid Resistant, mid Ankle Shoes, Tk Lacer",Parent,B087LBQSDS,z1198,100,0,2021-04-13 14:33:44 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Composite Toe Work Boots, Industrial Safety, Oil and Acid Resistant, 6 inch for Men, Leather, comp, Shoes, Botin",Parent,B087L7KWCM,z1250,100,0,2020-04-23 14:31:33 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Ankle Construction Work Boots for Men Soft Toe Versatile 6"" Leather Black Boot BorceShrk",Parent,B08MYH4M4D,z1312,100,0,2020-11-18 18:22:41 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, Leather Western Style, Oil and Acid Resistant, Ideal for Warehouse, utilities, Manufacturing and More, 10 inch Pull on Boots, Farmer",Parent,B08KZLFQMZ,z1371,100,0,2020-10-09 21:24:00 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO soft toe work boots, western style, for industrial, construction, utility wedge, oiled resistant, lightweight, cowboy boot, TRC1",Parent,B088WFCJ9S,z1386,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO men's steel toe work boots, western pull on, leather, construction, utility, and industrial safety, oiled resistant, cowboy, 10 inch boot, TRC1",Parent,B088WJXQKH,z1387,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO men's soft toe work boots, western pull on, for construction, oiled and acid resistant leather cowboy, 10 inch, TRC3P",Parent,B088WPT92H,z1390,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO men's steel toe work boots, western, leather, construction, industrial, oil and acid resistant, breathable pull up boot, TRC3P",Parent,B088WQ58BN,z1391,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Men's Slip Resistant Work Boots, Food Service and Industrial Safety, Leather, Lightweight, 6 inch Soft Toe Non-Slip Shoes, FBP1",Parent,B088WHNB5V,z1402,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Men's Non-Slip Work Shoes, Lightweight, Breathable, Resistant, Food Service Safety, Leather, Slip-on 4 inch Shoes, FCCP2",Parent,B088WFGQ2R,z1407,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Men's Work Shoes, Non-Slip, Lightweight, Breathable, Food Service Safety, Slip Resistant, Leather, 4 inch, Slip-on Shoes, FCP2",Parent,B088W497Y3,z1408,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO men's soft toe work boots, construction and industrial safety, 8 inch, leather western shoes, lightweight, heavy duty sole TLC1",Parent,B088WFQ8JW,z1412,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO men's steel toe work boots, square toe, construction and industrial safety, 8 inch, leather mid ankle western shoes, heavy duty sole TLC1",Parent,B088WGB7JZ,z1413,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, 6 inch lace up Boot, Rubber Shield Protection, Oil and Acid Resistant, Ideal for Manufacturing, Utility, Warehouse and More, BorceShark",Parent,B08NV4PF8W,z1416,100,0,2020-11-18 18:22:41 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Work Steel Toe Boots, Industrial Shoes, for Construction, Safety 10 inch, Pull on, Leather Boots, Tk Guardax",Parent,B087LD8DVK,z1418,100,0,2020-04-23 14:31:33 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Tk BorceShark Soft Toe Heavy Duty 6"" Work Boots",Parent,B087L4YDMV,z1422,100,0,2020-04-23 14:31:33 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Leather, Construction Safety,Oil Resistant, 10 inch, Utility Men Shoes, Tk Guardax",Parent,B087LC6GBD,z1423,100,0,2020-04-23 14:31:33 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Steel Toe Work Boot for Men, Construction Safety, Mens Leather, Oil Resistant, Breathable, mid 6 inch Shoes, Tk Borcegui Work Boots for Men",Parent,B08NTZBDYS,z1428,100,0,2020-11-18 16:40:55 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Industrial, Leather, Construction, Utility, Heavy Duty Wide Shoes,Tk Farmer, 10''",Parent,B088WFZ9H1,z1444,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO women's soft toe work boot, for construction, comfortable sole and heel, leather western booties, 8 inch, TLC1WN",Parent,B088W7SZTM,z1446,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Soft Toe Work Boots, Western, Leather, Construction Safety, 10 inch, Oil Resistant, Rubber Outsole, Square Toe Shoes, PR Rayas",Parent,B08NTX611C,z1452,100,0,2020-11-18 14:36:11 PST,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Steel Toe Work Boots, Industrial and Construction Safety, Mens Western Square Toe Shoes, Leather, 10 inch Boot, Oil Resistant, PR Rayas",Parent,B08NTXK98D,z1453,100,0,2020-11-18 14:36:11 PST,DEFAULT,Cebu Template,Inactive
"FORTAL Women's Non-Slip Work Shoes, Slip Resistant, Lightweight, Breathable, Food Service, 4 inch Shoes, FQP1",Parent,B087P442NZ,z1454,100,0,2020-04-25 20:25:09 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Women's Non Slip Work Boots, Slip and Oil Resistant, for Food Service, Lightweight Womens Soft Toe, Comfort Shoes, FTP",Parent,B088WH3QZL,z1456,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Leather, Utility and Industrial Safety, Slip Resistant, 10 inch Men Shoes, Breathable, Non Slip, Max Grip",Parent,B088WJNVRP,z1457,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Steel Toe Western Work Boots, Pull-on Construction Safety, Mens Cowboy 10 inch Oil Resistant Shoe, PR Track",Parent,B0896RMNMB,z1467,100,0,2020-06-04 19:33:35 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO women's steel toe work boots, for indusrtial and construction, heavy duty sole and heel, leather western booties, lightweight, 8 inch, TLC1WN",Parent,B088WK1HPC,z1481,100,0,2020-05-19 15:08:44 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Waterproof Work Boots, 10 inch, Water Safety, Leather, Lightweight, Utility Shoes WP",Parent,B088WDP68B,z1484,100,0,2020-05-19 16:05:32 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Waterproof Work Boots, 10 inch, Water Safety, Leather, Lightweight, Utility Shoes WP",Parent,B088WDP68B,z1486,100,0,2021-04-13 14:33:44 PDT,DEFAULT,Cebu Template,Inactive
"FORTAL Women's Work Boots, Ankle Bootie, Slip Resistant, Non Slip, lace up Shoes for Food Service, FBP3",Parent,B088WC841K,z1493,100,0,2020-05-19 16:05:32 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Wedge Boots, for Construction, Industrial, Utility Safety, Leather, Oil Resistant, 10 inch Men Shoes, Breathable and Lightweight, SW",Parent,B08N5KYB81,z1494,100,0,2020-11-10 14:36:20 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Oiled Resistant, 6 inch Industrial, Utility Safety, Leather, Breathable and Lightweight mid Ankle Shoes, BW",Parent,B088WGWGNM,z1497,100,0,2020-05-19 16:05:32 PDT,DEFAULT,Cebu Template,Inactive
"TORO BRAVO Women's Soft Toe Western Work Boots, Square Toe, Cowgirl, Pull on, 10 inch, Lady Boot, TRC1WN",Parent,B08N5K525J,z1501,100,0,2020-11-10 14:36:20 PST,DEFAULT,Cebu Template,Inactive
"TORO BRAVO Women's Steel Toe Western Work Boots, Square Toe, Cowgirl, Pull on, 10 inch, TRC1WN",Parent,B08N5M6YNG,z1503,100,0,2020-11-10 14:36:20 PST,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Soft Toe Boots, Western, Leather, Industrial, Construction, Oil and Acid Resistant, 10 inch, Pull on Work Boot, P-DD",Parent,B087P2XZPB,z1519,100,0,2020-04-25 20:25:09 PDT,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Steel Toe Work Boots, Western, Leather, for Industrial and Construction, Cowboy, 10 inch, Pull on Boot, P-DD",Parent,B087P3VQPQ,z1520,100,0,2020-04-25 20:25:09 PDT,DEFAULT,Cebu Template,Inactive
"LABRADOR Women's Soft Toe Work Boot, for Construction, Leather, Rubber Outsole, Lightweight, 6 inch Shoe, BDT",Parent,B088GS3JZ2,z1523,100,0,2020-05-11 19:52:17 PDT,DEFAULT,Cebu Template,Inactive
"LABRADOR Men's Soft Toe Wedge Work Boots, Industrial Safety, Men Leather Comfortable Shoes, 6 inch, Wedge Sole, BRB",Parent,B088GM74S2,z1528,100,0,2020-05-11 19:52:17 PDT,DEFAULT,Cebu Template,Inactive
"LABRADOR Men's Soft Toe Wedge Sole Work Boots, Industrial and Utility Safety, Oiled Resistant, Leather, Lightweight, 6 inch Shoes, BRB2",Parent,B088GS9G84,z1529,100,0,2020-05-11 19:52:17 PDT,DEFAULT,Cebu Template,Inactive
"PRADERA Men's Western Casual Boot, Square Toe, Cowboy, Leather, Slip-on, Comfort Shoe, 6 inch, BCC",Parent,B087P4X79C,z1534,100,0,2020-04-25 20:25:09 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Breathable Heavy Duty, Oil and Acid Resistant,for Warehouse, Utility, Manufacturing, and More,10 inch Pull on, HL100",Parent,B08YQW3KGJ,z1538,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Heavy Duty, Comfortable, Breathable, Leather, Oil and Acid Resistant, for Warehouse, Utility, Manufacturing, Drivers and More, 10 inch Pull on Boots, HL200",Parent,B08YRDMCWD,z1539,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Soft Toe Work Boots for Men, Comfortable Ultra Lightweight, Wedge Sole, 10"" Pull On, Rul 500",Parent,B08YRFV32M,z1546,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, for Construction, Industrial, Utility, Leather Oiled Resistant, Wedge Sole, Bul 250",Parent,B092LCL8NR,z1549,100,0,2021-04-14 14:55:50 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Steel Toe Men's Work Boots, Heavy Duty, Breathable, Oil and Acid Resistant, Perfect for Warehouse, utilities, Manufacturing, Plumbing and More, 10"" Pull On, HL200",Parent,B08YQTW3G6,z1550,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Lightweight Leather, Oil and Acid Resistant, for Manufacturing, Warehouse, Utility, 6 inch Shoes, BT Flex",Parent,B08YQZQSTP,z1561,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men Steel Toe Work Boots, Lightweight, Slip on, for Manufacturing, Warehouse, and Utility, 6 inch BT Flex",Parent,B08YRGZP15,z1562,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Soft Toe Wedge Sole Work Boots for Men, Lightweight, Oil & Acid Resistant, for Warehouse, Utilities, Manufacturing and More, with Laces 8"" Lacer 300",Parent,B08YQXT5LL,z1563,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Wedge Sole Work Boots, Ultra Lightweight, Leather, Oil and Acid Resistant, for Construction, Warehouse, Utility, 10 inch Pull on, Rul 500",Parent,B08YQN8WT7,z1564,100,0,2021-03-11 19:54:52 PST,DEFAULT,Cebu Template,Inactive
"CEBU Men's Work Boots, Soft Toe, for Construction and Industrial, Leather Oiled Resistant, Square Toe, 10 inch Pull On, Tonka",Parent,B092LFQ9PQ,z1566,100,0,2021-04-14 14:55:50 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Wedge Sole Work Boots, for Construction, Utility, Oil Resistant, Leather and Lightweight, Ultra 300",Parent,B096L8WDS4,z1580,100,0,2021-06-03 13:30:41 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, Leather Square Toe Light Weight, Oil and Acid Resistant, for Construction and More, Shock Absorbing Boots, Ranger",Parent,B0965WV87K,z1581,100,0,2021-05-29 12:43:40 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Steel Toe Work Boots, Oil Resistant, for Manufacturing, Utility, and Warehouse, Rubber Protection, 6 inch Slip on Boot, BT Flex Shrk",Parent,B096L7QPRR,z1586,100,0,2021-06-03 13:30:41 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, for Construction, Oil and Gas, and More, Leather, Heavy Duty Comfort Sole, 10 inch Pull on, R Flex",Parent,B096L82CPC,z1588,100,0,2021-06-03 13:30:41 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's R Flex Steel Toe Elastic 10"" Pull On Work Boots",Parent,B09D1YQGFX,z1590,100,0,2021-08-18 14:55:27 PDT,DEFAULT,Cebu Template,Inactive
"CEBU Men's Soft Toe Work Boots, for Manufacturing, Utility, and Warehouse, Oil Resistant, Rubber Protection, 6 inch Slip on Boots, BT Flex Shrk",Parent,B096L8LBG7,z1591,100,0,2021-06-03 13:30:41 PDT,DEFAULT,Cebu Template,Inactive
"Toro TLC1 8""",Parent,B07GC5WG2Z,1412,,0,2018-08-10 09:29:28 PDT,DEFAULT,Cebu Template,Incomplete
"CEBU Men's Soft Toe Work Boots, Industrial and Construction Safety, Oil and Acid Resistant, Rubber Protection, Leather, Heavy Duty, Wide fit Shoes, Tk Farmer",Parent,B00R0UX1RC,37000,,0,2014-12-14 21:01:21 PST,DEFAULT,Cebu Template,Incomplete
"CEBU Men's Soft Toe Work Boots, Industrial Safety, Leather, 10 inch Pull on, Oil Resistant, Lightweight Shoe, Rubber Protector, BrdShrk",Parent,B07BJCR748,39500101,,0,2013-05-17 12:26:22 PDT,DEFAULT,Cebu Template,Incomplete
"CEBU Men's Steel Toe Work Boots, Industrial and Utility Safety, Leather, 10 inch, Wide fit Shoe, Rubber Protector, BrdShrk",Parent,B01JMI7DV4,39900101,,0,2016-08-03 10:07:09 PDT,DEFAULT,Cebu Template,Incomplete