Priority,SKU,Name,Toe,AVG of Price,AVG of Cost,AVG Profit,Profit %,% E-commerce,% B2B
2,WP,WP, Soft , $ 82.00 , $ 48.32 , $ 33.68 ,69.7 %,0.04%,0.81%
2,P/WP,WP, Composite , $ 85.00 , $ 49.51 , $ 35.49 ,71.7 %,0.00%,0.59%
2,ULTRA 300,Ultra 300, Soft , $ 64.00 , $ 38.50 , $ 25.50 ,66.2 %,0.00%,0.00%
1,TRC3P STL,TRC3P, Steel , $ 78.00 , $ 45.50 , $ 32.50 ,71.4 %,6.58%,5.92%
1,TRC3P,TRC3P, Soft , $ 76.00 , $ 44.00 , $ 32.00 ,72.7 %,0.90%,2.64%
1,TRC1 STL,TRC1, Steel , $ 76.00 , $ 42.50 , $ 33.50 ,78.8 %,8.00%,5.49%
1,TRC1,TRC1, Soft , $ 74.00 , $ 41.00 , $ 33.00 ,80.5 %,5.60%,3.92%
1,A/TK,Tractor, Steel , $ 49.50 , $ 28.50 , $ 21.00 ,73.7 %,9.03%,3.91%
1,S/TK,Tractor, Soft , $ 47.50 , $ 27.50 , $ 20.00 ,72.7 %,7.54%,4.32%
2,TONKA BNL,Tonka Chocolate, Soft , $ 80.00 , $ 44.50 , $ 35.50 ,79.8 %,0.00%,0.00%
2,TONKA SHL,Tonka Cafe, Soft , $ 78.00 , $ 44.50 , $ 33.50 ,75.3 %,0.00%,0.00%
2,TONKA SHL STL,Tonka Cafe, Steel , $ 80.00 , $ 46.00 , $ 34.00 ,73.9 %,0.00%,0.00%
2,TONKA STL,Tonka, Steel , $ 80.00 , $ 43.00 , $ 37.00 ,86.0 %,0.00%,0.00%
2,TONKA,Tonka, Soft , $ 78.00 , $ 41.50 , $ 36.50 ,88.0 %,0.19%,0.00%
2,TLC1 WN STL,TLC1WN, Steel , $ 67.00 , $ 40.50 , $ 26.50 ,65.4 %,0.00%,0.26%
2,TLC1 WN,TLC1WN, Soft , $ 65.00 , $ 39.00 , $ 26.00 ,66.7 %,0.18%,0.38%
2,A/LEISER,Tk Lacer, Steel , $ 50.50 , $ 30.00 , $ 20.50 ,68.3 %,0.20%,1.98%
2,S/LEISER,Tk Lacer, Soft , $ 49.50 , $ 29.00 , $ 20.50 ,70.7 %,0.42%,3.04%
1,ATK Farmer,Tk Farmer, Steel , $ 60.50 , $ 33.50 , $ 27.00 ,80.6 %,1.97%,2.71%
1,TK Farmer,Tk Farmer, Soft , $ 59.50 , $ 32.50 , $ 27.00 ,83.1 %,2.69%,0.74%
2,B/TK,Tk Borcegui Miel, Soft , $ 47.50 , $ 26.50 , $ 21.00 ,79.2 %,0.67%,1.89%
2,BTK FLOTER,Tk Borcegui, Soft , $ 47.50 ,2650.00%, $ 21.00 ,79.2 %,0.00%,0.59%
1,THUNDER 300 STL,Thunder 300, Steel , $ 78.00 , $ 43.00 , $ 35.00 ,81.4 %,0.00%,0.00%
1,THUNDER 300,Thunder 300, Soft , $ 76.00 , $ 41.00 , $ 35.00 ,85.4 %,0.00%,0.00%
1,RUL 500 STL,Rul 500, Steel , $ 57.00 , $ 34.50 , $ 22.50 ,65.2 %,0.68%,0.09%
1,RUL 500,Rul 500, Soft , $ 55.00 , $ 33.00 , $ 22.00 ,66.7 %,9.80%,1.52%
2,P/RODEO TORO,Rodeo Shedron, Composite , $ 77.00 , $ 43.50 , $ 33.50 ,77.0 %,0.00%,1.25%
1,P/RODEO,Rodeo Cafe, Composite , $ 75.50 , $ 43.50 , $ 32.00 ,73.6 %,4.59%,1.69%
1,RANGER STL,Ranger, Steel , $ 82.00 , $ 46.00 , $ 36.00 ,78.3 %,0.00%,0.00%
1,RANGER,Ranger, Soft , $ 80.00 , $ 44.50 , $ 35.50 ,79.8 %,0.00%,0.00%
1,Chocolate,PR Track Chocolate, Soft , $ 54.00 , $ 30.50 , $ 23.50 ,77.0 %,0.00%,1.21%
1,P/Chocolate,PR Track Chocolate, Composite , $ 56.00 , $ 31.50 , $ 24.50 ,77.8 %,11.07%,1.53%
2,PR STL,PR Rayas, Steel , $ 56.00 , $ 29.50 , $ 26.50 ,89.8 %,1.10%,1.34%
2,PR,PR Rayas, Soft , $ 54.00 , $ 29.00 , $ 25.00 ,86.2 %,0.29%,0.94%
2,Max Grip,Max Grip Negro, Soft , $ 49.50 , $ 31.50 , $ 18.00 ,57.1 %,2.28%,0.51%
1,A/MAX,Max, Steel , $ 49.50 , $ 29.50 , $ 20.00 ,67.8 %,2.46%,3.28%
1,S/MAX,Max, Soft , $ 47.50 , $ 28.50 , $ 19.00 ,66.7 %,0.44%,1.97%
3,LACER 300,Lacer 300, Soft , $ 57.00 , $ 36.00 , $ 21.00 ,58.3 %,0.14%,0.00%
3,ATRACK,LA Track, Steel , $ 37.00 , $ 25.50 , $ 11.50 ,45.1 %,0.28%,0.57%
3,S/TRACK,LA Track, Soft , $ 35.00 , $ 24.50 , $ 10.50 ,42.9 %,0.00%,0.57%
1,HL-200-STL,HL200, Steel , $ 59.00 , $ 35.00 , $ 24.00 ,68.6 %,0.05%,1.16%
1,HL-200,HL200, Soft , $ 57.00 , $ 34.00 , $ 23.00 ,67.6 %,0.38%,1.18%
1,HL-100,HL100, Soft , $ 56.00 , $ 33.00 , $ 23.00 ,69.7 %,0.14%,1.35%
3,FCP2,FCP2, Soft , $ 36.00 , $ 22.00 , $ 14.00 ,63.6 %,1.42%,0.42%
3,FBS1,FBS1, Soft , $ 38.00 , $ 23.00 , $ 15.00 ,65.2 %,2.75%,0.05%
1,A/FARMER,Farmer, Steel , $ 60.50 , $ 33.50 , $ 27.00 ,80.6 %,0.88%,3.37%
1,FARMER,Farmer, Soft , $ 59.50 , $ 32.50 , $ 27.00 ,83.1 %,6.39%,3.76%
1,A/C,Comfort, Steel , $ 49.50 , $ 28.50 , $ 21.00 ,73.7 %,0.12%,0.88%
1,S/C,Comfort, Soft , $ 47.50 , $ 27.50 , $ 20.00 ,72.7 %,4.41%,2.09%
2,BT FLEX SHARK STL,BT Flex Shrk, Steel , $ 54.00 , $ 34.00 , $ 20.00 ,58.8 %,0.00%,0.00%
2,BT FLEX SHARK,BT Flex Shrk, Steel , $ 52.00 , $ 32.50 , $ 19.50 ,60.0 %,0.00%,0.00%
2,BT FLEX STL,BT Flex, Steel , $ 50.50 , $ 32.00 , $ 18.50 ,57.8 %,0.04%,0.00%
2,BT FLEX,BT Flex, Soft , $ 48.50 , $ 30.50 , $ 18.00 ,59.0 %,0.45%,0.00%
2,A/BRD SHARK,BrdShark, Steel , $ 60.50 , $ 33.50 , $ 27.00 ,80.6 %,0.24%,0.80%
2,BRD SHARK,BrdShark, Soft , $ 59.50 , $ 32.50 , $ 27.00 ,83.1 %,0.48%,0.84%
2,Botin Max Grip,Botin Grip Negro, Soft , $ 49.50 , $ 32.50 , $ 17.00 ,52.3 %,0.04%,0.60%
2,BOTIN MAX,Botin Cafe, Soft , $ 48.50 , $ 29.50 , $ 19.00 ,64.4 %,0.83%,0.83%
2,A/BORCESAHARK,BorceShark, Steel , $ 58.50 , $ 33.50 , $ 25.00 ,74.6 %,0.09%,1.67%
2,BORCESHARK,BorceShark, Soft , $ 57.50 , $ 32.50 , $ 25.00 ,76.9 %,0.38%,1.85%
2,A/B MAX,Bmx, Steel , $ 49.50 , $ 28.50 , $ 21.00 ,73.7 %,0.00%,1.20%
2,B/MAX,Bmx, Soft , $ 47.50 , $ 27.50 , $ 20.00 ,72.7 %,0.00%,2.46%
3,BDT,BDT Miel/Cobre, Soft , $ 29.50 , $ 15.05 , $ 14.45 ,96.0 %,0.21%,0.36%
3,TLC1,TLC1, Soft , $ 67.00 , $ 40.00 , $ 27.00 ,67.5 %,0.42%,1.63%
3,TLC1 STL,TLC1, Steel , $ 69.00 , $ 41.50 , $ 27.50 ,66.3 %,0.00%,0.96%